,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2013701,-73.8670217636,40.8415729251,1,1,2,2,2
2013702,-73.9794048549,40.6607607351,0,0,3,1,4
2013703,-73.9239986931,40.6674237541,0,0,3,1,4
2013704,-73.8792448003,40.7121280176,0,2,0,4,0
2013705,-73.98610134,40.7143918114,0,0,3,0,1
2013706,-73.8520205098,40.6916422183,0,2,0,4,0
2013707,-73.8534319455,40.8943754478,1,1,2,2,2
2013710,-73.9991936899,40.5730664575,0,0,1,1,4
2013726,-73.8760070304,40.7326965592,0,2,0,4,0
2013727,-73.9035291522,40.8184109038,1,1,2,2,2
2013728,-73.902201774,40.8513600642,1,1,2,2,2
2013729,-73.9329866274,40.8525595326,1,1,2,2,2
2013730,-73.8254686073,40.8283593629,1,1,2,2,2
2013734,-73.9579071659,40.6573623287,0,0,3,1,4
2013735,-73.8082708278,40.7260601887,0,2,0,4,5
2013737,-73.9489013298,40.7973083085,1,1,2,0,1
2013738,-73.9552104873,40.8034563768,1,1,2,0,1
2013741,-73.8305527636,40.7545445371,1,2,0,4,5
2013742,-74.1242053969,40.6317901723,0,0,1,3,3
2013743,-73.9256387931,40.6771550595,0,0,3,1,4
2013745,-73.8133297411,40.6730093018,0,2,0,4,5
2013746,-73.8570379356,40.8305436995,1,1,2,2,2
2013747,-74.0066912401,40.6767369859,0,0,3,1,4
2013748,-73.8982208237,40.8521498404,1,1,2,2,2
2013750,-73.9332200873,40.8576510911,1,1,2,2,2
2013751,-73.9379294124,40.796770445,1,1,2,0,1
2013752,-73.8685949231,40.7477460632,0,2,0,4,0
2013754,-73.9160403539,40.6896810906,0,0,3,1,0
2013757,-74.0141001505,40.6437522993,0,0,1,1,4
