,X,Y,Z3,Z15,Z30
576,-73.9906958083,40.5994231013,2,2,2
577,-73.9806958083,40.5994231013,0,2,2
578,-73.9706958083,40.5994231013,2,2,0
579,-73.9606958083,40.5994231013,0,0,0
580,-73.9506958083,40.5994231013,0,0,0
581,-73.9406958083,40.5994231013,1,2,2
582,-73.9306958083,40.5994231013,0,0,0
583,-73.9206958083,40.5994231013,1,0,0
584,-73.9106958083,40.5994231013,1,1,2
585,-73.9006958083,40.5994231013,1,2,2
586,-73.8906958083,40.5994231013,1,2,2
587,-73.8806958083,40.5994231013,2,2,2
588,-73.8706958083,40.5994231013,1,2,2
589,-73.8606958083,40.5994231013,1,2,1
590,-73.8506958083,40.5994231013,2,2,1
591,-73.8406958083,40.5994231013,1,2,1
592,-73.8306958083,40.5994231013,0,1,1
593,-73.8206958083,40.5994231013,0,1,1
594,-73.8106958083,40.5994231013,1,1,1
595,-73.8006958083,40.5994231013,1,1,0
596,-73.7906958083,40.5994231013,0,0,0
597,-73.7806958083,40.5994231013,0,1,0
598,-73.7706958083,40.5994231013,1,1,1
599,-73.7606958083,40.5994231013,1,1,1
600,-73.7506958083,40.5994231013,1,1,0
601,-73.7406958083,40.5994231013,0,1,0
602,-73.7306958083,40.5994231013,0,1,0
603,-73.7206958083,40.5994231013,0,1,1
