,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2014783,-73.8772991399,40.8245945315,0,0,2,1,5
2014788,-73.9424652316,40.6385154431,1,1,1,2,2
2014789,-73.8875246384,40.6577871413,1,2,3,2,2
2014790,-73.8734014931,40.87914135,0,0,2,1,5
2014791,-73.9585325476,40.6369688103,1,1,1,2,2
2014792,-73.9404709428,40.8222373291,0,0,2,4,3
2014793,-73.8286364111,40.712357497,0,2,3,3,0
2014794,-73.9598865365,40.6442210154,1,1,1,2,2
2014795,-73.9409228959,40.8259484187,0,0,2,4,3
2014796,-73.9181719502,40.7627206319,0,0,0,4,3
2014800,-73.8314158469,40.8485006923,0,0,2,1,5
2014801,-73.9754087768,40.5990461157,1,1,1,0,2
2014802,-73.9583015466,40.6549168723,1,1,1,2,2
2014804,-73.95662537,40.6387631974,1,1,1,2,2
2014805,-73.807557219,40.7807729015,0,2,3,3,0
2014807,-73.960738175,40.6421352725,1,1,1,2,2
2014814,-73.8971833284,40.8592137867,0,0,2,1,5
2014816,-74.067644368,40.5915355361,1,1,1,0,4
2014818,-74.0817702011,40.6391512777,1,1,1,0,4
2014826,-73.9877833445,40.728425953,1,1,0,2,1
2014890,-73.9189859575,40.7464091755,0,2,0,4,1
2014893,-73.8575135801,40.7265516036,0,2,3,3,0
2014894,-73.8577362327,40.8419598295,0,0,2,1,5
2014897,-73.9547994824,40.8182804627,0,0,2,4,3
2014899,-73.9412574073,40.7130711566,1,1,0,2,1
2014900,-73.8765104906,40.8212231741,0,0,2,1,5
2014909,-73.8812364494,40.7462501785,0,2,3,3,0
2014910,-73.9021790422,40.8692747074,0,0,2,1,5
2014911,-73.9070590152,40.8183479298,0,0,2,1,3
2014912,-73.9571273618,40.6650062522,1,1,1,2,2
2014913,-73.9387487413,40.824819206,0,0,2,4,3
2014914,-73.9251704995,40.8406783815,0,0,2,1,3
2014915,-73.8106053789,40.7348555239,0,2,3,3,0
2014916,-73.791034157,40.7093969043,0,2,3,3,0
2014921,-73.9490134131,40.7971519086,0,0,0,4,3
2014922,-74.1006528861,40.5879897829,1,1,1,0,4
2014923,-73.8739311833,40.8267372683,0,0,2,1,5
2014924,-73.878359621,40.754423787,0,2,3,3,0
2014925,-73.9509489157,40.802565351,0,0,0,4,3
2014926,-73.9498804012,40.7873234081,0,0,0,4,3
2014927,-73.9607738374,40.648895689,1,1,1,2,2
2014979,-73.9531714909,40.6571134679,1,1,1,2,2
2014980,-73.9836087308,40.6117642175,1,1,1,0,2
2014981,-73.9169392216,40.8422948709,0,0,2,1,3
2014983,-73.8841257038,40.852946232,0,0,2,1,5
2014984,-73.960096695,40.7989430963,0,0,0,4,3
2014985,-73.9189328967,40.8285699839,0,0,2,1,3
2014986,-73.8682375266,40.8718785969,0,0,2,1,5
2014998,-73.9181887174,40.8196024666,0,0,2,4,3
2015000,-73.9246269745,40.8674443729,0,0,2,1,5
2015001,-73.9049996478,40.8538024445,0,0,2,1,5
2015002,-73.9909063325,40.660331289,1,1,1,2,2
2015007,-73.9617703949,40.6832469215,1,1,1,2,1
2015008,-73.9659119074,40.7562450948,0,0,0,4,1
2015018,-73.8226972386,40.7049129239,0,2,3,3,0
2015020,-73.9230823103,40.8306533199,0,0,2,1,3
2015028,-73.9032173382,40.861403788,0,0,2,1,5
2015036,-73.9101208642,40.6725986342,1,1,1,2,2
2015037,-73.9326858311,40.7997482772,0,0,2,4,3
2015078,-73.9918612004,40.6330317398,1,1,1,0,2
2015079,-74.0102660448,40.6432613889,1,1,1,0,2
2015081,-73.9320811362,40.8543320814,0,0,2,1,3
2015091,-73.9556028698,40.59966324,1,1,1,0,2
2015092,-73.9092318821,40.7059716128,1,2,0,2,1
2015093,-74.0823303834,40.6083982292,1,1,1,0,4
2015096,-73.9643748459,40.8023946196,0,0,0,4,3
2015097,-73.813109934,40.7012774033,0,2,3,3,0
2015098,-73.8987286037,40.6563400719,1,2,1,2,2
2015099,-73.9134262883,40.8478201293,0,0,2,1,5
2015100,-73.8914824642,40.7682951157,0,0,0,4,3
2015105,-73.9373089835,40.8189502254,0,0,2,4,3
2015106,-73.9231119288,40.651797127,1,1,1,2,2
2015107,-74.0310033937,40.6197073813,1,1,1,0,4
2015144,-73.9901570741,40.6817926322,1,1,1,2,1
2015145,-73.7492656462,40.7448143293,0,2,3,3,0
2015146,-73.9676679997,40.6482692784,1,1,1,2,2
2015147,-73.9702526267,40.6302971151,1,1,1,2,2
2015148,-73.9919373748,40.718232288,1,1,0,2,1
2015161,-73.9811756114,40.6954275324,1,1,1,2,1
2015170,-73.9180585891,40.7462987295,0,2,0,4,1
2015171,-73.9561340385,40.6243034635,1,1,1,2,2
2015172,-73.9707042548,40.6848030838,1,1,1,2,1
2015175,-73.9223084439,40.8682772229,0,0,2,1,5
2015176,-73.8880232719,40.8266639821,0,0,2,1,5
2015178,-73.9458446585,40.6300164752,1,1,1,2,2
2015186,-73.7700691187,40.6669061722,1,2,3,3,0
2015194,-73.8799059977,40.8196293332,0,0,2,1,5
2015195,-73.9773522529,40.7189604488,1,1,0,2,1
2015233,-73.8705565226,40.8582181056,0,0,2,1,5
2015234,-73.8722619159,40.879392606,0,0,2,1,5
2015235,-73.9989684182,40.7088207785,1,1,0,2,1
2015236,-73.909404545,40.8151220047,0,0,2,1,3
2015238,-73.8661783356,40.6715540692,1,2,3,3,0
2015239,-74.0796836406,40.6449113046,1,1,1,0,4
2015257,-73.9081754016,40.8157221264,0,0,2,1,3
2015258,-73.9023446719,40.8574342146,0,0,2,1,5
2015259,-73.9418890894,40.7870534166,0,0,0,4,3
2015260,-73.9911990031,40.6821797295,1,1,1,2,1
2015261,-73.9855236442,40.7334815299,1,1,0,2,1
2015264,-73.8947282327,40.8686341257,0,0,2,1,5
2015265,-73.9825652804,40.7181132255,1,1,0,2,1
2015267,-73.914063425,40.8078849915,0,0,2,4,3
2015268,-73.9422171187,40.6961885911,1,1,0,2,1
2015269,-73.8917608147,40.819158,0,0,2,1,5
2015273,-73.9226199571,40.6751411483,1,1,1,2,2
2015291,-73.9583404598,40.7772865366,0,0,0,4,3
2015299,-73.8765278779,40.825482997,0,0,2,1,5
2015300,-73.9578302118,40.6536650799,1,1,1,2,2
2015301,-73.9821576759,40.7449321627,1,1,0,4,1
2015313,-73.8592778316,40.8939929768,0,0,2,1,5
2015314,-73.9825530834,40.6820222914,1,1,1,2,1
2015315,-73.8825632481,40.7428919622,0,2,3,3,0
2015317,-73.9193794173,40.8238795766,0,0,2,1,3
2015318,-74.1264531313,40.6258781847,1,1,1,0,4
2015320,-73.9051353897,40.6293697709,1,1,1,2,2
2015321,-73.9472886128,40.6400466014,1,1,1,2,2
2015349,-73.9619766069,40.8021687859,0,0,0,4,3
2015353,-73.8857854981,40.7536436464,0,2,3,3,0
2015355,-73.9784114939,40.6117798276,1,1,1,0,2
2015361,-73.8446730671,40.7203675173,0,2,3,3,0
2015367,-73.9481121994,40.8320204413,0,0,2,4,3
2015370,-73.9843243219,40.7393414206,1,1,0,4,1
2015378,-73.9000422953,40.8547808597,0,0,2,1,5
2015379,-73.8617475307,40.8873730303,0,0,2,1,5
2015380,-73.8184616851,40.8192744938,0,0,2,1,5
2015387,-73.9476674476,40.8277796572,0,0,2,4,3
2015392,-73.8841382534,40.8810190185,0,0,2,1,5
2015395,-73.8365629832,40.7204852941,0,2,3,3,0
2015416,-73.9203768419,40.6848176922,1,1,1,2,1
2015417,-73.8687357008,40.8338210741,0,0,2,1,5
2015436,-73.9526308359,40.6368594839,1,1,1,2,2
2015437,-73.9406923387,40.7197680839,1,1,0,2,1
2015438,-73.9221093342,40.7450224863,0,2,0,4,1
2015439,-73.8844514829,40.7444858285,0,2,3,3,0
2015440,-73.8779727914,40.8355466637,0,0,2,1,5
2015441,-73.9100963043,40.8459292237,0,0,2,1,5
