,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2024895,-73.9314110617,40.8310867495,1,0,2,4,0
2024908,-73.8179091833,40.7637174123,1,1,0,1,2
2024919,-73.98478415,40.7010026879,0,2,1,3,4
2024957,-73.9258793435,40.8661936024,1,0,2,4,5
2024958,-73.9910102949,40.71799617,0,2,1,3,4
2025064,-73.8625004883,40.7349072221,1,1,0,1,2
2025074,-73.9430189633,40.8381799152,1,0,2,4,0
2025080,-73.9286688297,40.6722383395,0,2,1,0,4
2025105,-73.9684754073,40.7088850856,0,2,1,3,4
2025179,-73.949469035,40.6632053129,0,2,1,0,1
2025204,-73.7079593136,40.7363344816,1,1,0,1,2
2025230,-73.9188581906,40.685376565,0,2,1,0,4
2025292,-73.9442785779,40.7452247331,1,0,1,3,4
2025358,-73.9627893978,40.6727731975,0,2,1,0,4
2025371,-73.8892057486,40.6742053021,0,1,1,1,4
2025375,-73.938645753,40.8189536891,1,0,2,4,0
2025376,-73.9105948636,40.6928087723,0,1,1,0,4
2025377,-73.9104241533,40.8842921255,1,0,2,4,5
2025408,-73.8228382081,40.7509400501,1,1,0,1,2
2025499,-73.9198011519,40.7647556323,1,0,2,3,0
2025508,-73.9566545984,40.6270484515,0,2,1,0,1
2025533,-73.9647069738,40.7141649148,0,2,1,3,4
2025563,-73.9448787795,40.6958852274,0,2,1,0,4
2025572,-73.9275589362,40.8610236571,1,0,2,4,5
2025627,-73.9437908624,40.6945040826,0,2,1,0,4
2025628,-73.9057150068,40.7444118766,1,1,1,3,4
2025666,-73.926186227,40.7623500155,1,0,2,3,0
2025695,-74.0296661794,40.6340492619,0,2,3,0,1
2025708,-73.9511176118,40.8138572162,1,0,2,4,0
2025741,-73.8901513055,40.6757679869,0,1,1,1,4
2025814,-73.9959557897,40.7227092011,0,2,1,3,4
2025842,-73.8675926638,40.7054509126,1,1,0,1,2
2025843,-73.7839872304,40.7613724258,1,1,0,1,2
2025915,-73.8647966474,40.8552142826,1,0,2,4,5
2025992,-73.8771905707,40.6680667578,0,1,0,1,2
2026021,-73.9691963613,40.7956796605,1,0,2,3,0
2026056,-73.9715162513,40.7928284831,1,0,2,3,0
2026079,-73.9914894803,40.6097064753,0,2,1,0,1
2026080,-73.869864151,40.70584326,1,1,0,1,2
2026099,-73.9798515132,40.7213488538,0,2,1,3,4
2026122,-74.035581213,40.6120727856,0,2,3,0,1
2026157,-73.9249559765,40.6752222942,0,2,1,0,4
2026214,-73.7656876248,40.6828143381,1,1,0,1,2
2026215,-73.7636738483,40.5948340173,0,1,0,1,2
2026260,-73.9333404158,40.6979184856,0,2,1,3,4
2026321,-73.956613345,40.7126744881,0,2,1,3,4
2026332,-73.9479322727,40.6925270522,0,2,1,0,4
2026499,-73.9346980252,40.7036228893,0,2,1,3,4
2026550,-73.8988927649,40.826251338,1,0,2,4,5
2026551,-73.9767604638,40.7504646134,0,2,1,3,4
2026619,-73.9543076197,40.5980240879,0,2,1,0,1
2026640,-73.9475812069,40.7904760826,1,0,2,3,0
2026641,-73.7995831048,40.6840613673,1,1,0,1,2
2026656,-73.995585403,40.5955984508,0,2,3,0,1
2026853,-73.9988742914,40.7293515783,0,2,1,3,4
2026911,-73.8837567754,40.67519628,0,1,0,1,2
2026935,-73.8282338933,40.8391612316,1,0,2,4,5
2026972,-73.9325920065,40.8496005113,1,0,2,4,5
2027012,-73.987401956,40.7228266075,0,2,1,3,4
2027013,-73.9844539822,40.7558730593,0,2,1,3,4
2027028,-73.8945386101,40.7077843579,0,1,0,1,4
2027115,-73.9827140607,40.6869189885,0,2,1,0,4
2027120,-73.9413557964,40.8185351573,1,0,2,4,0
2027121,-73.7659678388,40.7128976626,1,1,0,1,2
2027130,-73.9862023441,40.7143835893,0,2,1,3,4
2027220,-73.9099600997,40.8210537806,1,0,2,4,5
2027258,-73.9802351543,40.7780087484,1,0,2,3,0
2027290,-73.9521819571,40.6699613714,0,2,1,0,4
2027291,-73.9818603482,40.6705435373,0,2,1,0,1
2027314,-73.90224327,40.8182067115,1,0,2,4,5
2027328,-73.9225474333,40.8648629803,1,0,2,4,5
2027379,-73.9809121796,40.7212447337,0,2,1,3,4
2027488,-73.9540745929,40.816402788,1,0,2,4,0
2027505,-73.9470919491,40.6881268024,0,2,1,0,4
2027531,-73.9728874661,40.7867794256,1,0,2,3,0
2027567,-73.9812206827,40.7146546158,0,2,1,3,4
2027603,-73.9347942346,40.6974444736,0,2,1,3,4
2027614,-73.9156213957,40.7443536862,1,0,1,3,4
2027616,-73.884752608,40.6350822694,0,1,1,0,1
2027683,-73.9132552011,40.8376590884,1,0,2,4,5
2027709,-73.8275678384,40.8479433178,1,0,2,4,5
2027722,-73.9777614834,40.6060924884,0,2,1,0,1
2027741,-73.9422624509,40.835396402,1,0,2,4,0
2027913,-73.9826585189,40.7757035596,1,0,2,3,0
2027930,-74.002627545,40.7519600703,0,2,1,3,4
2027931,-73.9375571717,40.8393765259,1,0,2,4,0
2028029,-73.9627534446,40.672600265,0,2,1,0,4
2028043,-73.7541052728,40.5961616422,0,1,0,1,2
2028131,-73.9071604208,40.7068126038,0,1,1,3,4
2028245,-73.8210037868,40.7606920595,1,1,0,1,2
2028275,-73.9443809982,40.799779216,1,0,2,4,0
2028290,-73.9156250323,40.7443317309,1,0,1,3,4
2028316,-73.98044558,40.7499904566,0,2,1,3,4
2028345,-73.9908223762,40.7204115434,0,2,1,3,4
2028396,-73.9126707303,40.7488089613,1,0,2,3,4
2028422,-73.8645357482,40.7383817507,1,1,0,1,2
2028492,-73.9885375906,40.7274022365,0,2,1,3,4
2028512,-73.9775563235,40.7878563646,1,0,2,3,0
2028513,-73.9436374968,40.8204685772,1,0,2,4,0
2028552,-74.0002418014,40.746613331,0,2,1,3,4
2028553,-73.9076570016,40.8144015012,1,0,2,4,0
2028554,-73.9625559557,40.6262545358,0,2,1,0,1
2028582,-73.8230940726,40.7565232685,1,1,0,1,2
2028609,-73.9611889025,40.7964732138,1,0,2,3,0
2028610,-73.9127373932,40.6372999987,0,2,1,0,1
2028650,-73.9896542914,40.6225327422,0,2,1,0,1
2028655,-73.905220116,40.8690466908,1,0,2,4,5
